,,,,,,,,,,,,,,,,,
U.S. PEV Sales by Model (In Order of Market Introduction),,,,,,,,,,,,,,,,,
Vehicle,Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,,,,,,
Volvo XC60 Plug In,PHEV, -   , -   , -   , -   , -   , -   , 356 ," 2,267 "," 1,682 "," 4,305 ",,,,,,
Volvo S90 Plug In,PHEV, -   , -   , -   , -   , -   , -   , 112 , 437 , 407 , 956 ,,,,,,
Honda Clarity Plug-in,PHEV, -   , -   , -   , -   , -   , -   , 903 ," 18,602 "," 10,728 "," 30,233 ",,,,,,
Mitsubishi Outlander Plug In,PHEV, -   , -   , -   , -   , -   , -   , -   ," 4,166 "," 2,810 "," 6,976 ",,,,,,
Hyundai Ioniq Plug-In,PHEV, -   , -   , -   , -   , -   , -   , -   ," 1,590 "," 1,765 "," 3,355 ",,,,,,
Kia Niro Plug In,PHEV, -   , -   , -   , -   , -   , -   , -   ," 3,389 "," 4,051 "," 7,440 ",,,,,,
Mercedes GLC 350e Hybrid,PHEV, -   , -   , -   , -   , -   , -   , -   , 567 ," 2,459 "," 3,026 ",,,,,,
Jaguar I-Pace,EV, -   , -   , -   , -   , -   , -   , -   , 393 ," 2,594 "," 2,987 ",,,,,,
Hyundai Kona Electric,EV, -   , -   , -   , -   , -   , -   , -   , -   ," 1,721 "," 1,721 ",,,,,,
Subaru Crosstrek Hybrid,PHEV, -   , -   , -   , -   , -   , -   , -   , -   , 880 , 880 ,,,,,,
Audi e-tron,EV, -   , -   , -   , -   , -   , -   , -   , -   ," 5,369 "," 5,369 ",,,,,,
Kia Niro EV,EV, -   , -   , -   , -   , -   , -   , -   , -   ," 1,562 "," 1,562 ",,,,,,
Total,," 17,763 "," 53,171 "," 97,102 "," 118,882 "," 114,023 "," 159,616 "," 195,581 "," 361,315 "," 326,644 "," 1,444,097 ",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
