Year_Month,Fuel_Category,County,Count
2020/09,Electric,CARROLL,306
2020/09,Electric,CECIL,88
2020/09,Electric,CHARLES,202
2020/09,Electric,DORCHESTER,24
2020/09,Electric,FREDERICK,755
2020/09,Electric,GARRETT,17
2020/09,Electric,HARFORD,341
2020/09,Electric,HOWARD,2014
2020/09,Electric,KENT,13
2020/09,Electric,MONTGOMERY,6040
2020/09,Electric,PRINCE GEORGES,1264
2020/09,Electric,QUEEN ANNES,87
2020/09,Electric,SAINT MARYS,154
2020/09,Electric,SOMERSET,3
2020/09,Electric,TALBOT,73
2020/09,Electric,UNKNOWN,27
2020/09,Electric,WASHINGTON,138
2020/09,Electric,WICOMICO,55
2020/09,Electric,WORCESTER,46
2020/09,Electric,CA,2
2020/09,Electric,TX,1
2020/09,Plug-in Hybrid,ALLEGANY,37
2020/09,Plug-in Hybrid,ANNE ARUNDEL,1152
2020/09,Plug-in Hybrid,BALTIMORE,1259
2020/09,Plug-in Hybrid,BALTIMORE CITY,624
2020/09,Plug-in Hybrid,CALVERT,165
2020/09,Plug-in Hybrid,CAROLINE,19
2020/09,Plug-in Hybrid,CARROLL,240
2020/09,Plug-in Hybrid,CECIL,76
2020/09,Plug-in Hybrid,CHARLES,176
2020/09,Plug-in Hybrid,DORCHESTER,26
2020/09,Plug-in Hybrid,FREDERICK,703
2020/09,Plug-in Hybrid,GARRETT,6
2020/09,Plug-in Hybrid,HARFORD,298
2020/09,Plug-in Hybrid,HOWARD,1158
2020/09,Plug-in Hybrid,KENT,35
2020/09,Plug-in Hybrid,MONTGOMERY,3664
2020/09,Plug-in Hybrid,PRINCE GEORGES,955
2020/09,Plug-in Hybrid,QUEEN ANNES,87
2020/09,Plug-in Hybrid,SAINT MARYS,174
2020/09,Plug-in Hybrid,SOMERSET,8
2020/09,Plug-in Hybrid,TALBOT,88
2020/09,Plug-in Hybrid,UNKNOWN,19
2020/09,Plug-in Hybrid,WASHINGTON,164
2020/09,Plug-in Hybrid,WICOMICO,91
2020/09,Plug-in Hybrid,WORCESTER,64
2020/09,Plug-in Hybrid,CO,2
2020/09,Plug-in Hybrid,DE,1
2020/09,Plug-in Hybrid,IL,1
2020/09,Plug-in Hybrid,KY,1
2020/09,Plug-in Hybrid,OH,2
2020/09,Plug-in Hybrid,TN,1
2020/09,Plug-in Hybrid,WA,1
2020/10,Electric,ALLEGANY,36
2020/10,Electric,ANNE ARUNDEL,1729
2020/10,Electric,BALTIMORE,1674
2020/10,Electric,BALTIMORE CITY,833
2020/10,Electric,CALVERT,157
2020/10,Electric,CAROLINE,7
2020/10,Electric,CARROLL,326
2020/10,Electric,CECIL,92
2020/10,Electric,CHARLES,211
2020/10,Electric,DORCHESTER,23
2020/10,Electric,FREDERICK,785
2020/10,Electric,GARRETT,17
2020/10,Electric,HARFORD,360
2020/10,Electric,HOWARD,2085
2020/10,Electric,KENT,13
2020/10,Electric,MONTGOMERY,6259
2020/10,Electric,PRINCE GEORGES,1323
