Supercharger,Street Address,City,State,Zipcode,Country,GPS,Statues,Open Date
"Mt. Shasta - 134 Morgan Way, CA",134 Morgan Way,Mt. Shasta,CA,96067,USA,"41.310348, -122.316039",OPEN,1/4/18
"San Diego - Qualcomm, CA",10105 Pacific Heights Blvd,San Diego,CA,92121,USA,"32.902137, -117.193489",OPEN,6/8/15
"San Diego - Liberty Station, CA",Truxtun Rd,San Diego,CA,92106,USA,"32.737743, -117.217061",PERMIT,
"Cupertino - Stevens Creek Blvd, CA",20745 Stevens Creek Blvd,Cupertino,CA,95014,USA,"37.324722, -122.03684",OPEN,11/17/20
"Patterson - Speno Dr, CA",2959 Speno Dr,Patterson,CA,95363,USA,"37.466496, -121.174403",OPEN,8/29/20
"Lake Arrowhead, CA",28200 State Hwy 189,Lake Arrowhead,CA,92532,USA,"34.250676, -117.189756",PERMIT,
"San Diego - Balboa Mesa, CA",5617 Balboa Av,San Diego,CA,92111,USA,"32.818922, -117.179792",OPEN,11/18/20
"Dublin - Fallon Gateway, CA",2800 Dublin Blvd,Dublin,CA,94568,USA,"37.703993, -121.852249",CONSTRUCTION,
"San Francisco - 16th St, CA",2300 16th St,San Francisco,CA,94103,USA,"37.766033, -122.408981",PERMIT,
"Irvine - Main St, CA",1970 Main St,Irvine,CA,92614,USA,"33.684357, -117.851746",OPEN,12/26/20
"Granada Hills, CA",10823 Zelzah Ave,Granada Hills,CA,91344,USA,"34.266172, -118.524155",OPEN,12/24/20
"Loomis, CA",6119 Horseshoe Bar Rd,Loomis,CA,95650,USA,"38.817444, -121.189472",OPEN,4/2/21
"San Fernando, CA",1011 Pico St,San Fernando,CA,91340,USA,"34.281483, -118.44167",CONSTRUCTION,
"Los Angeles - 668 S Alameda St, CA",668 S Alameda St,Los Angeles,CA,90021,USA,"34.03575, -118.238039",PERMIT,
"Pasadena - Arroyo Pkwy, CA",Cnr Glenarm St and Arroyo Pkwy,Pasadena,CA,91106,USA,"34.12699, -118.147727",PERMIT,
"Bell, CA",4410 Gage Ave,Bell,CA,90201,USA,"33.977915, -118.188681",CONSTRUCTION,
"Simi Valley - Tierra Rejada Road, CA",51 Tierra Rejada Rd,Simi Valley,CA,93065,USA,"34.272167, -118.797139",OPEN,9/22/20
"San Ysidro, CA",4211 Camino De La Plaza,San Ysidro,CA,92173,USA,"32.54462, -117.042305",PERMIT,
"Clovis, CA",870 Herndon Ave,Clovis,CA,93612,USA,"36.836939, -119.6982",OPEN,3/19/21
"Concord - Diamond Blvd, CA",1975 Diamond Blvd,Concord,CA,94520,USA,"37.969947, -122.058491",OPEN,1/15/21
"Yreka, CA",1808 Fort Jones Rd,Yreka,CA,96097,USA,"41.701865, -122.644518",PERMIT,
"San Ramon - Gateway Center, CA",21001 San Ramon Valley Blvd,San Ramon,CA,94583,USA,"37.723701, -121.943609",PERMIT,
"Brea, CA",175 S Madrona Ave,Brea,CA,92821,USA,"33.919492, -117.902014",PERMIT,
"Inyokern 2, CA",6525 Inyokern Rd,Inyokern,CA,93527,USA,"35.646509, -117.81326",PERMIT,
"Fort Bragg, CA",101 Boatyard Dr,Fort Bragg,CA,95437,USA,"39.421063, -123.807299",CONSTRUCTION,
"Jackson, CA",31 CA-88,Jackson,CA,95642,USA,"38.347998, -120.7766",OPEN,11/5/20
"Stockton, CA",2323 Grand Canal Blvd,Stockton,CA,95207,USA,"37.984978, -121.335924",OPEN,11/13/20
"Firebaugh, CA",46272 W Panoche Rd,Firebaugh,CA,93622,USA,"36.639287, -120.625451",OPEN,11/13/20
"Stockton - Auto Center Circle, CA",3131 Auto Center Cir,Stockton,CA,95212,USA,"38.01908, -121.276399",PERMIT,
"Bishop, CA",151 S Warren St,Bishop,CA,93514,USA,"37.360397, -118.396963",OPEN,11/18/20
"Playa Vista - West Jefferson Blvd, CA",12746 W Jefferson Blvd,Playa Vista,CA,90094,USA,"33.977104, -118.417167",OPEN,11/6/20
"San Jose - Holger Way, CA",95 Holger Wy,San Jose,CA,95134,USA,"37.417281, -121.956897",OPEN,11/7/20
"Rowland Heights, CA",17247 Colima Rd,Rowland Heights,CA,91748,USA,"33.991811, -117.92803",OPEN,11/7/20
"Emeryville - Christie Ave, CA",5795 Christie Ave,Emeryville,CA,94608,USA,"37.837506, -122.295407",OPEN,3/28/20
"Del Rey (LA), CA",4755 Alla Rd,Marina Del Rey,CA,20292,USA,"33.982922, -118.430514",PERMIT,
"Fremont - Pacific Commons, CA",43950 Pacific Commons Blvd,Fremont,CA,94538,USA,"37.502482, -121.968927",OPEN,11/18/20
"Sacramento - Golden 1 Center, CA",500 David J Stern Walk,Sacramento,CA,95814,USA,"38.580186, -121.499476",PERMIT,
"Santa Ana - E 5th St, CA",300 E 5th St,Santa Ana,CA,92701,USA,"33.748796, -117.866115",OPEN,11/20/20
"Woodland, CA",2185 Bronze Star Dr,Woodland,CA,95776,USA,"38.671368, -121.723893",OPEN,11/19/20
"Los Angeles - Promenade at Howard Hughes Center, CA",6081 W Center Dr,Los Angeles,CA,90045,USA,"33.978128, -118.392062",PERMIT,
"Hesperia, CA",12795 Main St,Hesperia,CA,92345,USA,"34.424864, -117.385861",OPEN,11/17/20
"Sunnyvale - S Bernardo Ave, CA",639 S Bernardo Ave,Sunnyvale,CA,94087,USA,"37.372668, -122.057332",OPEN,4/3/21
"Emeryville - Shellmound St, CA",5901 Shellmound St,Emeryville,CA,94608,USA,"37.840449, -122.293936",OPEN,11/20/20
"Davis, CA",2151 Cowell Blvd,Davis,CA,95618,USA,"38.542553, -121.725827",OPEN,1/20/21
"Gilroy - Camino Arroyo, CA",6705 Camino Arroyo,Gilroy,CA,95020,USA,"37.000817, -121.554338",OPEN,11/26/20
"Redding, CA",4631 Churn Creek Rd,Redding,CA,96002,USA,"40.541255, -122.349972",PERMIT,
"Oakland - 2nd St, CA",255 2nd St,Oakland,CA,94607,USA,"37.794153, -122.272578",OPEN,11/22/20
"Irvine - Walnut Ave, CA",5406 Walnut Ave,Irvine,CA,92604,USA,"33.689828, -117.769439",OPEN,12/4/20
"Eastvale, CA",12571 Limonite Ave,Eastvale,CA,91752,USA,"33.976911, -117.55442",PERMIT,
"San Luis Obispo - Los Osos Valley Rd, CA",11990 Los Osos Valley Rd,San Luis Obispo,CA,93405,USA,"35.251622, -120.685952",CONSTRUCTION,
"Santa Ysabel, CA",30270 CA-78,Santa Ysabel,CA,92070,USA,"33.109253, -116.674419",OPEN,3/29/21
"Newark - Cedar Blvd, CA",39962 Cedar Blvd,Newark,CA,94560,USA,"37.5193205, -121.9924736",CLOSED_PERM,
"Hayward - Mission Blvd, CA",26905 Mission Blvd,Hayward,CA,94544,USA,"37.644903, -122.063057",PERMIT,
"San Bruno, CA",2801 San Bruno Ave W,San Bruno,CA,94066,USA,"37.618905, -122.440524",CONSTRUCTION,
"Merced - Martin Luther King Junior Way, CA",1425 Martin Luther King Jr Way,Merced,CA,95340,USA,"37.297988, -120.483354",OPEN,3/10/21
"Copperopolis, CA",100 Town Square Rd,Copperopolis,CA,95228,USA,"37.972864, -120.653276",OPEN,3/31/21
"San Francisco - Geary Blvd, CA",2675 Geary Blvd,San Francisco,CA,94118,USA,"37.781806, -122.446146",CONSTRUCTION,
"San Juan Capistrano, CA",31971 Camino Capistrano,San Juan Capistrano,CA,92675,USA,"33.498458, -117.6632",OPEN,5/6/14
"Monterey-Seaside, CA",1901 Del Monte Blvd,Seaside,CA,93955,USA,"36.616759, -121.844014",OPEN,8/13/15
"Truckee-Brockway Rd, CA",The Rock 11209 Brockway Rd,Truckee,CA,96161,USA,"39.321865, -120.1621",OPEN,10/23/15
"San Jose - Westfield Oakridge, CA",925 Blossom Hill Rd,San Jose,CA,95123,USA,"37.252178, -121.863485",PERMIT,
"Lone Pine, CA",701 S Main St,Lone Pine,CA,93545,USA,"36.60059, -118.061916",OPEN,1/28/15
"Eureka, CA","Bayshore Mall, 3300 Broadway St",Eureka,CA,95501,USA,"40.778885, -124.188383",OPEN,8/17/16
"Culver City, CA",6000 Hannum Ave,Culver City,CA,90230,USA,"33.986779, -118.390213",OPEN,12/18/14
"Dublin - Amador Plaza, CA",6701 Amador Plaza Rd,Dublin,CA,94568,USA,"37.703183, -121.925327",OPEN,10/17/15
"Los Angeles - Venice Crossroads, CA",8985 Venice Blvd,Los Angeles,CA,90034,USA,"34.027942, -118.393968",PERMIT,
"Mira Mesa, CA",8251 Mira Mesa Blvd,San Diego,CA,92126,USA,"32.911707, -117.145653",CONSTRUCTION,
"Hollister, CA","Casa de Fruta, 10021 Pacheco Pass Hwy",Hollister,CA,95023,USA,"36.989869, -121.380535",OPEN,3/13/18
"San Jose - Santana Row (Valet), CA",330 Winchester Blvd,San Jose,CA,95128,USA,"37.321459, -121.948969",OPEN,2/2/19
"Fresno - North Riverside Drive, CA",5001 N Riverside Dr,Fresno,CA,93722,USA,"36.832164, -119.908341",OPEN,11/24/20
"Irvine - Culver Drive, CA",14346 Culver Dr,Irvine,CA,92604,USA,"33.705955, -117.785067",CONSTRUCTION,
"Tustin, CA",15000-15190 Kensington Park Dr,Tustin,CA,92782,USA,"33.7123, -117.8163",PERMIT,
"Chino Hills, CA",13920 City Center Dr,Chino Hills,CA,91709,USA,"34.002163, -117.731326",CONSTRUCTION,
"Fremont - 39201 Fremont Blvd, CA",39201 Fremont Blvd,Fremont,CA,94538,USA,"37.544506, -121.983822",OPEN,4/28/18
"Daly City, CA",1 Serramonte Center,Daly City,CA,94015,USA,"37.673998, -122.472257",OPEN,10/5/18
"Soledad, CA",3070 H Dela Rosa Sr St,Soledad,CA,93960,USA,"36.4162019, -121.320846",PERMIT,
"Downey - Stonewood St, CA",251 Stonewood St,Downey,CA,90241,USA,"33.934643, -118.12117",OPEN,6/30/18
"East Palo Alto, CA",1775 E Bayshore Rd,East Palo Alto,CA,94303,USA,"37.459659, -122.137651",OPEN,7/2/18
"Brentwood, CA",2455 Sand Creek Rd,Brentwood,CA,94513,USA,"37.9466789, -121.7409128",OPEN,3/31/21
"Santa Maria, CA",371 Town Center E,Santa Maria,CA,93454,USA,"34.950762, -120.432835",PERMIT,
"Harris Ranch (Expansion), CA",24553 W Dorris Ave,Coalinga,CA,93210,USA,"36.253519, -120.240461",PERMIT,
"Buttonwillow Raceway, CA",24551 W Lerdo Hwy,Buttonwillow,CA,93206,USA,"35.497199, -119.554591",PERMIT,
"Sherman Oaks, CA",15301 Ventura Blvd,Sherman Oaks,CA,91403,USA,"34.156902, -118.467539",PERMIT,
"Arroyo Grande, CA",1160 W Branch St,Arroyo Grande,CA,93420,USA,"35.126833, -120.595972",CONSTRUCTION,
"West Hollywood, CA",8775 Sunset Blvd,West Hollywood,CA,90069,USA,"34.091635, -118.382241",PERMIT,
"Limon, CO",2221 6th St,Limon,CO,80828,USA,"39.2688421, -103.708604",OPEN,6/21/14
"Denver, CO",4310 Airport Way,Denver,CO,80239,USA,"39.775259, -104.794674",OPEN,11/8/14
"Trinidad, CO",9960 Santa Fe Trail,Trinidad,CO,81082,USA,"37.134228, -104.519962",OPEN,7/30/15
"Colorado Springs, CO",215 North Cascade Ave,Colorado Springs,CO,80903,USA,"38.837573, -104.824907",OPEN,12/29/15
"Loveland, CO",Embassy Suites at 4705 Clydesdale Pkwy,Loveland,CO,80538,USA,"40.44146, -104.991205",OPEN,12/29/16
"Brush, CO",1156 Colorado Ave,Brush,CO,80723,USA,"40.270895, -103.62223",OPEN,12/31/16
"Poncha Springs, CO",6250 Hwy 285,Poncha Springs,CO,81201,USA,"38.51174, -106.076394",OPEN,2/3/18
"Lone Tree, CO",Park Meadows Center Dr,Lone Tree,CO,80124,USA,"39.562726, -104.873432",OPEN,11/17/17
"Idaho Springs, CO",1319 Miner St,Idaho Springs,CO,80452,USA,"39.741549, -105.518358",OPEN,2/6/20
"Thornton, CO",237 E 120th Ave,Thornton,CO,80233,USA,"39.914711, -104.986758",OPEN,2/28/20
"Estes Park, CO",333 E Wonderview Ave,Estes Park,CO,80517,USA,"40.383833, -105.519783",OPEN,5/15/18
"Aspen, CO",38750 Highway 82,Aspen,CO,81611-2506,USA,"39.204837, -106.858507",OPEN,7/3/18
"Centennial, CO",9535 E County Line Rd,Englewood,CO,80112,USA,"39.567218, -104.877928",OPEN,6/14/20
"Superior - S Marshall Rd (SC), CO",2 S Marshall Rd,Superior,CO,80027,USA,"39.9548017, -105.1646291",OPEN,10/2/20
"Boulder, CO",29th St,Boulder,CO,80301,USA,"40.020306, -105.257028",OPEN,5/30/18
"Lakewood, CO",14500 W Colfax Ave,Lakewood,CO,80401,USA,"39.733697, -105.154154",OPEN,3/31/20
"Kremmling, CO",605 Park Ave,Kremmling,CO,80459,USA,"40.059575, -106.387881",OPEN,8/8/20
"Conifer, CO",25637 Conifer Rd,Conifer,CO,80433,USA,"39.544083, -105.289972",OPEN,9/5/20
"Denver - University Hills, CO",2780 S Colorado Blvd,Denver,CO,80222,USA,"39.666202, -104.936889",PERMIT,
"Montrose, CO",533 N 1st St,Montrose,CO,81401,USA,"38.481242, -107.876472",OPEN,12/18/20
"Craig, CO",700 E Victory Way,Craig,CO,81625,USA,"40.513995, -107.538785",OPEN,2/12/21
"Brighton, CO",5112 E Bromley Ln,Brighton,CO,80603,USA,"39.971722, -104.748972",OPEN,10/8/20
"Silverthorne, CO",309 Rainbow Dr,Silverthorne,CO,80498,USA,"39.631457, -106.070816",OPEN,10/3/13
"Monument, CO",17970 Knollwood Dr,Monument,CO,80132,USA,"39.092296, -104.852544",CONSTRUCTION,
"Glenwood Springs, CO",125 Wulfsohn Rd,Glenwood Springs,CO,81601,USA,"39.55268, -107.340168",OPEN,9/17/13
"Silverthorne - Ruby Ranch Rd, CO",101 Ruby Ranch Rd,Silverthorne,CO,80498,USA,"39.645998, -106.079617",PERMIT,
"Grand Junction, CO",2420 U.S. 6,Grand Junction,CO,81505,USA,"39.090758, -108.604325",OPEN,1/10/14
"Greenwich, CT (north)",3000 Merritt Pkwy,Greenwich,CT,6830,USA,"41.041538, -73.671661",OPEN,2/12/14
"Greenwich, CT (south)",2000 Merritt Pkwy,Greenwich,CT,6830,USA,"41.040555, -73.673445",OPEN,2/12/14
"Milford, CT (north)",1 CT Turnpike N,Milford,CT,6460,USA,"41.245814, -73.008988",OPEN,12/16/12
"Milford, CT (south)",1 CT Turnpike S,Milford,CT,6460,USA,"41.246232, -73.010529",OPEN,12/16/12
"Milford - Boston Post Rd, CT","Connecticut Post Mall, 1201 Post Rd",Milford,CT,6460,USA,"41.238035, -73.036156",OPEN,4/28/17
"Madison - Northbound, CT",I-95 N,Madison,CT,6443,USA,"41.2900852, -72.5803292",OPEN,1/30/20
"Madison - Southbound, CT",I-95 S,Madison,CT,6443,USA,"41.2915926, -72.5790793",OPEN,1/30/20
"Old Lyme, CT",90 Halls Rd,Old Lyme,CT,6371,USA,"41.322754, -72.337523",PERMIT,
"Manchester, CT",1470 Pleasant Valley Rd,Manchester,CT,6042,USA,"41.80455, -72.562267",OPEN,12/18/17
"Fairfield - Southbound, CT",267 Round Hill Rd,Fairfield,CT,6824,USA,"41.148076, -73.255582",OPEN,12/20/19
"Stamford, CT",1250 Summer St,Stamford,CT,6905,USA,"41.067836, -73.545266",OPEN,8/9/19
"North Stamford, CT",1115 High Ridge Rd,Stamford,CT,6905,USA,"41.107885, -73.5469602",OPEN,8/9/19
"New London, CT",369 N Frontage Rd,New London,CT,6320,USA,"41.370726, -72.119398",OPEN,3/7/20
"Fairfield - Northbound, CT",165 Round Hill Rd,Fairfield,CT,6824,USA,"41.146266, -73.257157",OPEN,12/23/19
"Waterbury, CT",160 Kukas Ln,Waterbury,CT,6705,USA,"41.53713, -73.005368",OPEN,12/19/18
"Meriden, CT",903 East Main St,Meriden,CT,6450,USA,"41.527018, -72.773982",OPEN,2/9/20
"Darien, CT (north)",I-95 North after exit 12,Darien,CT,6820,USA,"41.080321, -73.461365",OPEN,6/19/13
"Darien, CT (south)",I-95 South after exit 10,Darien,CT,6820,USA,"41.067299, -73.504926",OPEN,6/19/13
"North Canaan, CT",11 E Main St,Canaan,CT,6018,USA,"42.024331, -73.322684",OPEN,4/17/20
"Hartford - Leibert Rd, CT",195 Leibert Rd,Hartford,CT,6120,USA,"41.788236, -72.65582",OPEN,10/30/20
"Lisbon, CT",160 River Rd,Lisbon,CT,6351,USA,"41.58569, -71.991059",OPEN,12/8/20
"New Milford, CT",291 Danbury Rd,New Milford,CT,6776,USA,"41.538744, -73.421791",OPEN,3/29/21
"West Hartford, CT",1445 New Britain Ave,West Hartford,CT,6110,USA,"41.722672, -72.759717",OPEN,12/5/14
"Hamden - Dixwell Avenue, CT",2100 Dixwell Ave,Hamden,CT,6514,USA,"41.369666, -72.919942",OPEN,3/18/21
"Danbury, CT",7 Backus Ave,Danbury,CT,6810,USA,"41.379222, -73.477689",OPEN,5/15/18
"Hartford, CT",42 Asylum St,Hartford,CT,6103,USA,"41.766116, -72.673977",OPEN,5/9/18
"Washington - Wisconsin Ave NW, DC",1855 Wisconsin Ave NW,Washington,DC,20007,USA,"38.91655, -77.066175",OPEN,3/6/20
"Washington - Market St NE, DC",2438 Market St NE,Washington,DC,20018,USA,"38.92225, -76.953333",OPEN,11/26/20
"Lewes, DE",17663 Dartmouth Dr,Lewes,DE,19958,USA,"38.743725, -75.153394",OPEN,12/16/17
"Dover, DE",2800 N Dupont Hwy,Dover,DE,19901,USA,"39.19477, -75.54729",OPEN,1/12/19
"Newark, DE",530 JFK Memorial Hwy,Newark,DE,19725,USA,"39.6635, -75.69017",OPEN,12/21/12
"Rehoboth Beach, DE",30155 Veterans Way,Rehoboth Beach,DE,19971,USA,"38.712542, -75.10381",OPEN,1/7/21
"Bear, DE",1100 Pulaski Hwy,Bear,DE,19701,USA,"39.632175, -75.660374",PERMIT,
"Claymont - Philadelphia Pike, DE",2621 Philadelphia Pike,Claymont,DE,19703,USA,"39.794589561233245, -75.46957254409",OPEN,10/28/20
"Claymont, DE",691 Naamans Rd,Claymont,DE,19703,USA,"39.817478, -75.457282",OPEN,6/6/18
"Port Orange, FL",5302 S Williamson Blvd,Port Orange,FL,32128,USA,"29.108566, -81.034569",OPEN,9/13/13
"Port St. Lucie, FL",1701 NW Peacock Blvd,Port St. Lucie,FL,34986,USA,"27.313023, -80.406688",OPEN,7/24/13
"Fort Myers, FL",9903 Gulf Coast Main St,Fort Myers,FL,33913,USA,"26.48564, -81.787136",OPEN,7/25/13
"DeFuniak Springs, FL",10th St and Baldwin Ave,DeFuniak Springs,FL,32435,USA,"30.720702, -86.116677",OPEN,1/9/15
"Ocala, FL",4414 SW College Rd,Ocala,FL,34474,USA,"29.140985, -82.19395",OPEN,11/3/14
"Brandon, FL",2400 W Brandon Blvd,Brandon,FL,33511,USA,"27.9408309, -82.3236485",OPEN,9/25/14
"Lake City, FL",2893 W US Highway 90,Lake City,FL,32055,USA,"30.181429, -82.679701",OPEN,8/20/14
"Turkey Lake, FL",Turkey Lake Service Plaza,Turkey Lake,FL,32835,USA,"28.514874, -81.500214",OPEN,11/21/14
"Deerfield Beach, FL",20 SW 12th Ave,Deerfield Beach,FL,33442,USA,"26.317736, -80.119643",OPEN,2/25/20
"Fort Drum, FL",184 Florida's Turnpike,Okeechobee,FL,34972,USA,"27.601444, -80.822187",OPEN,11/26/14
"Marathon, FL",9400 Overseas Hwy,Marathon,FL,33050,USA,"24.725916, -81.047519",OPEN,5/2/15
"Riviera Beach, FL",4651 Dyer Blvd,Riviera Beach,FL,33407,USA,"26.7781155, -80.1091072",CLOSED_PERM,
"Tallahassee, FL",1400 Village Square Blvd,Tallahassee,FL,32309,USA,"30.510935, -84.247838",OPEN,9/23/15
"Florida City, FL",33505 S Dixie Hwy,Florida City,FL,33034,USA,"25.456825, -80.474341",OPEN,6/2/17
"Live Oak, FL",6886 US-129,Live Oak,FL,32060,USA,"30.331363, -82.961355",OPEN,8/20/17
"Sarasota, FL",5901 North Honore Ave,Sarasota,FL,34232,USA,"27.386687, -82.464441",OPEN,8/19/17
"Altamonte Springs, FL",305 East Altamonte Dr,Altamonte Springs,FL,32701,USA,"28.664414, -81.380274",OPEN,5/27/18
"Pinellas Park, FL",3101 Gandy Blvd,Pinellas Park,FL,33782,USA,"27.8461, -82.678114",OPEN,8/10/17
"Riverview, FL",10665 Big Bend,Riverview,FL,33579,USA,"27.7915, -82.332833",OPEN,2/14/19
"Miami - Mary Brickell Village, FL",71 SW 10th St,Miami,FL,33130,USA,"25.764706, -80.194629",OPEN,5/5/19
"Orlando - N Alafaya Trail, FL",435 N Alafaya Trail,Orlando,FL,32828,USA,"28.555278, -81.198944",OPEN,2/19/19
"Jacksonville - County Road, FL",2220 County Road 210 W,St. Johns,FL,32259,USA,"30.060278, -81.513861",OPEN,12/20/18
"Tampa, FL",2502 N 50th St,Tampa,FL,33619,USA,"27.965757, -82.402577",OPEN,2/24/18
"Plantation, FL",813 S University Dr,Plantation,FL,33324,USA,"26.108614, -80.252268",OPEN,12/19/15
"Miami - SW 7th St, FL","CMX - Brickell City Centre, 701 South Miami Ave",Miami,FL,33130,USA,"25.76768, -80.192467",OPEN,3/16/18
"Tampa - West Swann Ave, FL",2100 West Swann Ave,Tampa,FL,33606,USA,"27.937057, -82.481113",OPEN,8/1/18
"Miami - SW 8th St, FL",701 South Miami Ave,Miami,FL,33130-1946,USA,"25.766875, -80.194524",OPEN,6/1/18
"Celebration, FL",6240 W. Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,USA,"28.331356, -81.532453",OPEN,5/21/19
"Jacksonville - Gate Parkway, FL",4866 Gate Pkwy,Jacksonville,FL,32466,USA,"30.254019, -81.536459",OPEN,8/29/18
"West Melbourne, FL",205 Palm Bay Rd NE,West Melbourne,FL,32904,USA,"28.037035, -80.664204",OPEN,12/16/17
"Delray Beach, FL","Delray Marketplace, 14851 Lyons Rd",Delray Beach,FL,33446,USA,"26.455815, -80.190072",OPEN,7/1/18
"Miami - NE 41st Street, FL",90 NE 41st St,Miami,FL,33137,USA,"25.813933, -80.194551",OPEN,6/23/18
"Vero Beach, FL",9050 20th St,Vero Beach,FL,32966,USA,"27.6400894, -80.5135068",OPEN,3/16/20
"Fort Lauderdale, FL",2620 W Broward Blvd,Fort Lauderdale,FL,33312,USA,"26.120885, -80.177098",OPEN,4/6/20
"Clearwater, FL",26508 US Highway 19,Clearwater,FL,33761,USA,"28.013295, -82.736244",OPEN,2/18/20
"Miami - SW 24th Street, FL",6971 SW 24th St,Miami,FL,33155,USA,"25.7485018, -80.3084064",OPEN,1/30/20
"Ochopee, FL",47801 W State Rd 84,Ochopee,FL,34141,USA,"26.174361, -80.855694",OPEN,2/14/20
"Miami - South Dixie Highway, FL",8312 Dixie Highway,Miami,FL,33143,USA,"25.693198, -80.304898",OPEN,6/11/20
"Panama City Beach, FL",14100 Panama City Beach Parkway,Panama City Beach,FL,32413,USA,"30.211432, -85.849367",OPEN,8/28/20
"Kissimmee, FL",7940 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,USA,"28.34551, -81.604567",OPEN,1/13/20
"Gainesville, FL",3217 SW 35th Blvd,Gainesville,FL,32608,USA,"29.624756, -82.376597",OPEN,4/17/19
"Deltona, FL",3400 Howland Blvd,Deltona,FL,32725,USA,"28.9498974, -81.2508045",OPEN,4/25/20
"Miami Beach - Convention Center, FL",500 17th St,Miami Beach,FL,33139,USA,"25.79169, -80.134014",CONSTRUCTION,
"Miami Beach - West Avenue, FL",959 West Ave,Miami Beach,FL,33139,USA,"25.780227, -80.141787",CONSTRUCTION,
"Marianna, FL",2070 FL-71,Marianna,FL,32448,USA,"30.716016, -85.184269",OPEN,1/29/21
"Venice, FL",370 Commercial Ct,Venice,FL,34292,USA,"27.107859, -82.385275",PERMIT,
"Lakeland, FL",4320 US Hwy 98 N,Lakeland,FL,33809,USA,"28.0979989, -81.9746033",OPEN,9/3/20
"Lady Lake, FL",116 N. Highway 27/441,Lady Lake,FL,32159,USA,"28.917179, -81.923031",OPEN,9/9/20
"Winter Garden, FL",13501 W Colonial Dr,Winter Garden,FL,34787,USA,"28.551646, -81.584416",OPEN,12/18/20
"Davenport, FL",8103 Lake Wilson Rd,Davenport,FL,33896,USA,"28.258509, -81.590088",CONSTRUCTION,
"Jacksonville - Philips Hwy, FL",5735 Philips Hwy,Jacksonville,FL,32216,USA,"30.265516, -81.617034",PERMIT,
"Crystal River, FL",509 US-19,Crystal River,FL,34429,USA,"28.899556, -82.586778",CONSTRUCTION,
"Canoe Creek, FL",Mile Post 229 Florida Turnpike,Canoe Creek,FL,34760,USA,"28.094603, -81.27413",PERMIT,
"North Naples, FL",2415 Tarpon Bay Blvd,Naples,FL,34119,USA,"26.271106, -81.739504",PERMIT,
"Jacksonville - Chaffee Rd, FL",703 Chaffee Rd S,Jacksonville,FL,32221,USA,"30.307077, -81.847887",OPEN,9/19/20
"Fort Pierce, FL",5575 Okeechobee Rd,Fort Pierce,FL,34749,USA,"27.416538, -80.381845",OPEN,10/2/20
"Orlando - W Robinson St, FL",W Robinson St,Orlando,FL,32801,USA,"28.545986, -81.381115",PERMIT,
"Orlando - W Sand Lake Rd, FL",6500 W Sand Lake Rd,Orlando,FL,32819,USA,"28.449767, -81.466734",OPEN,3/10/18
"Titusville, FL",3055 Columbia Blvd,Titusville,FL,32780,USA,"28.552782, -80.840594",OPEN,10/18/20
"Yulee, FL",20 Homegrown Way,Yulee,FL,32097,USA,"30.623736, -81.638238",OPEN,4/2/21
"Port St. Lucie - Ft. Pierce, FL","Mile Marker, 144 Florida's Turnpike",Port St. Lucie,FL,34984,USA,"27.302193, -80.372843",CONSTRUCTION,
"Daytona Beach, FL",2380 W International Speedway Blvd,Daytona Beach,FL,32114,USA,"29.183314, -81.07889",OPEN,11/1/20
"Palm Coast, FL",5600 FL-100 East,Palm Coast,FL,32164,USA,"29.475857, -81.206442",OPEN,11/13/20
"Land OÕ Lakes, FL",25155 Maren Way,Land OÕ Lakes,FL,34639,USA,"28.189347, -82.40032",OPEN,2/3/21
"Crestview, FL",2670 S Ferdon Blvd,Crestview,FL,32536,USA,"30.733386, -86.566733",OPEN,2/17/21
"Orlando - Millenia, FL",4750 Millenia Plaza Way,Orlando,FL,32839,USA,"28.493424, -81.429358",PERMIT,
"Rockledge, FL",5410 Murrell Rd,Rockledge,FL,32955,USA,"28.26721, -80.71842",OPEN,3/4/21
"West Palm Beach - Garden Road, FL",7289 Garden Rd,West Palm Beach,FL,33404,USA,"26.782582, -80.092328",OPEN,12/21/18
"St. Petersburg, FL",3637 34th St S,St. Petersburg,FL,33711,USA,"27.734808, -82.680101",OPEN,2/20/21
"Winter Park, FL",901 N Orlando Ave,Winter Park,FL,32789,USA,"28.604988, -81.365915",OPEN,3/17/21
"Wildwood, FL",299 FL-91,Wildwood,FL,34785,USA,"28.787015, -81.982383",PERMIT,
"Naples, FL",499 Bayfront Place,Naples,FL,34102,USA,"26.14462, -81.788849",OPEN,2/23/17
"St. Augustine, FL","2700 State Road 16, Suite 200",St. Augustine,FL,32092,USA,"29.924286, -81.416018",OPEN,1/3/14
"Pembroke Pines, FL",14916 Pines Blvd,Pembroke Pines,FL,33027,USA,"26.006948, -80.348953",OPEN,10/12/18
"Aventura, FL",19501 Biscayne Blvd,Aventura,FL,33180,USA,"25.956403, -80.143001",OPEN,5/17/18
"Fort Myers - Dani Drive, FL",9357 6 Mile Cypress Pkwy,Fort Myers,FL,33966,USA,"26.608585, -81.809444",OPEN,7/2/18
"Tifton, GA",1310 U.S. 82,Tifton,GA,31794,USA,"31.448847, -83.53221",OPEN,7/10/14
"Macon, GA",450 Martin Luther King Jr Blvd,Macon,GA,31201,USA,"32.8334275, -83.6255567",OPEN,5/8/14
