NAME,Estimate HOUSEHOLDS BY TYPE Total households,Estimate EDUCATIONAL ATTAINMENT Population 25 years and over,Estimate INCOME AND BENEFITS (INFLATION-ADJUSTED DOLLARS) Median household income (dollars),Estimate COMMUTING TO WORK Workers 16 years and over,Percent PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All families,Estimate VEHICLES AVAILABLE Occupied housing units,Percent VEHICLES AVAILABLE Occupied housing units,metropolitan statistical area/micropolitan statistical area,YEAR
"Wenatchee, WA Metro Area",41304,78300,56319,51376,7.6,1910,4.6,48300,2015
"Bellingham, WA Metro Area",80023,138988,55016,100765,6.4,4237,5.3,13380,2015
"Seattle-Tacoma-Bellevue, WA Metro Area",1464941,2645731,78612,1941796,6.3,66922,4.6,42660,2016
"Olympia-Tumwater, WA Metro Area",105863,194426,65783,122944,7.1,4576,4.3,36500,2016
"Mount Vernon-Anacortes, WA Metro Area",46423,85910,60983,53613,5.2,2270,4.9,34580,2016
"Longview, WA Metro Area",40170,73161,50637,40713,12.2,2520,6.3,31020,2016
"Kennewick-Richland, WA Metro Area",96337,175825,61021,122234,7.1,3636,3.8,28420,2016
"Bremerton-Silverdale, WA Metro Area",101995,183529,69171,122232,7.7,5168,5.1,14740,2016
"Bellingham, WA Metro Area",84011,142486,56411,103057,8.3,3312,3.9,13380,2016
"Yakima, WA Metro Area",81084,150873,48965,104235,13.7,6110,7.5,49420,2016
"Wenatchee, WA Metro Area",43186,78514,52231,52330,6.3,2025,4.7,48300,2016
"Walla Walla, WA Metro Area",23748,43107,54655,28549,6.3,2068,8.7,47460,2016
"Spokane-Spokane Valley, WA Metro Area",217598,378472,52955,247626,7.6,12934,5.9,44060,2016
"Wenatchee, WA Metro Area",42468,79271,58990,53213,13.7,2465,5.8,48300,2017
"Yakima, WA Metro Area",82107,151817,47402,99397,14.8,5141,6.3,49420,2017
"Spokane-Spokane Valley, WA Metro Area",224113,385592,53321,256959,8.6,12879,5.7,44060,2017
"Seattle-Tacoma-Bellevue, WA Metro Area",1490337,2707906,82133,1997545,5.6,61682,4.1,42660,2017
"Olympia-Tumwater, WA Metro Area",112075,196131,71765,130646,7.7,4647,4.1,36500,2017
"Walla Walla, WA Metro Area",24256,43286,54157,27799,6.6,1097,4.5,47460,2017
"Longview, WA Metro Area",41611,74724,49456,42974,11.3,2701,6.5,31020,2017
"Kennewick-Richland, WA Metro Area",98742,182259,63617,129776,9.5,3882,3.9,28420,2017
"Bremerton-Silverdale, WA Metro Area",104902,184874,73026,127450,5.0,4984,4.8,14740,2017
"Bellingham, WA Metro Area",88636,147244,61186,108317,5.3,3733,4.2,13380,2017
"Mount Vernon-Anacortes, WA Metro Area",49262,87956,66066,56661,7.1,2554,5.2,34580,2017
"Seattle-Tacoma-Bellevue, WA Metro Area",1526210,2769714,87910,2059642,5.4,134675,8.8,42660,2018
"Bremerton-Silverdale, WA Metro Area",105411,188460,76945,133445,6.1,10945,10.4,14740,2018
"Yakima, WA Metro Area",83320,152659,51555,103039,12.7,9556,11.5,49420,2018
"Walla Walla, WA Metro Area",23893,43208,59704,27587,5.9,2480,10.4,47460,2018
"Mount Vernon-Anacortes, WA Metro Area",48474,91594,73206,57486,5.1,5324,11.0,34580,2018
"Olympia-Tumwater, WA Metro Area",110713,202731,72703,132979,4.6,8179,7.4,36500,2018
"Spokane-Spokane Valley, WA Metro Area",229018,394787,58546,258817,8.0,23352,10.2,44060,2018
"Longview, WA Metro Area",43279,75444,59225,46722,8.5,5442,12.6,31020,2018
"Kennewick-Richland, WA Metro Area",98988,185956,64908,126309,7.9,6541,6.6,28420,2018
"Bellingham, WA Metro Area",87080,149288,62268,104115,8.7,7180,8.2,13380,2018
"Wenatchee, WA Metro Area",47855,82146,61714,58425,6.2,4621,9.7,48300,2018
"Wenatchee, WA Metro Area",44478,5359,60532,55806,8.1,4045,9.1,48300,2019
"Bellingham, WA Metro Area",88794,21163,69372,106418,7.0,6848,7.7,13380,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",107525,13107,79624,133545,5.1,9263,8.6,14740,2019
"Mount Vernon-Anacortes, WA Metro Area",49043,5454,67175,56976,7.1,4180,8.5,34580,2019
"Olympia-Lacey-Tumwater, WA Metro Area",112909,15818,78512,136647,6.4,9045,8.0,36500,2019
"Seattle-Tacoma-Bellevue, WA Metro Area",1541245,249353,94027,2100080,4.7,125250,8.1,42660,2019
"Spokane-Spokane Valley, WA Metro Area",229880,37288,59646,252691,7.2,21066,9.2,44060,2019
"Walla Walla, WA Metro Area",23167,5002,61285,26615,7.0,2568,11.1,47460,2019
"Kennewick-Richland, WA Metro Area",101840,13124,68283,131646,11.3,8925,8.8,28420,2019
"Longview, WA Metro Area",42790,4861,55497,43761,7.6,4664,10.9,31020,2019
"Yakima, WA Metro Area",83992,10472,56233,107391,13.7,7991,9.5,49420,2019
