NAME,POP,DATE_CODE,DATE_DESC,metropolitan statistical area/micropolitan statistical area
"Seattle-Tacoma-Bellevue, WA Metro Area",3739654,8,7/1/2015 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",532163,8,7/1/2015 population estimate,44060
"Kennewick-Richland, WA Metro Area",278945,8,7/1/2015 population estimate,28420
"Lewiston, ID-WA Metro Area",62108,8,7/1/2015 population estimate,30300
"Longview, WA Metro Area",102999,8,7/1/2015 population estimate,31020
"Bellingham, WA Metro Area",216417,9,7/1/2016 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",263142,9,7/1/2016 population estimate,14740
"Wenatchee, WA Metro Area",117221,9,7/1/2016 population estimate,48300
"Yakima, WA Metro Area",249327,9,7/1/2016 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",123603,9,7/1/2016 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",273714,9,7/1/2016 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2426575,9,7/1/2016 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3816355,9,7/1/2016 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",541030,9,7/1/2016 population estimate,44060
"Kennewick-Richland, WA Metro Area",283693,9,7/1/2016 population estimate,28420
"Lewiston, ID-WA Metro Area",62422,9,7/1/2016 population estimate,30300
"Longview, WA Metro Area",104740,9,7/1/2016 population estimate,31020
"Bellingham, WA Metro Area",221410,10,7/1/2017 population estimate,13380
"Bremerton-Silverdale-Port Orchard, WA Metro Area",266289,10,7/1/2017 population estimate,14740
"Wenatchee, WA Metro Area",118325,10,7/1/2017 population estimate,48300
"Yakima, WA Metro Area",249922,10,7/1/2017 population estimate,49420
"Mount Vernon-Anacortes, WA Metro Area",125860,10,7/1/2017 population estimate,34580
"Olympia-Lacey-Tumwater, WA Metro Area",280269,10,7/1/2017 population estimate,36500
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2454815,10,7/1/2017 population estimate,38900
"Seattle-Tacoma-Bellevue, WA Metro Area",3885579,10,7/1/2017 population estimate,42660
"Spokane-Spokane Valley, WA Metro Area",550259,10,7/1/2017 population estimate,44060
